No.,Nama Jurnal,Singkatan Nama Jurnal,Link Jurnal,ISSN,E ISSN,Bidang,Bidang Ilmu,Sinta,Masa aktif Sinta,Scopus,Masa aktif Scopus,Penerbit,Kota Terbit
54,AR-RAZI Jurnal Ilmiah,AR-RAZI,http://openjurnal.unmuhpnk.ac.id/index.php/ar-r,2302-7843,2503-4448,Penelitian,Islam,S5,2021 - 2025,blm_scopus,-,Universitas Muhammadiyah Pontianak,"Malang, Jawa Timur"
55,JPMTT (Jurnal Pengabdian Masyarakat Teknologi Terbarukan),JPMTT,https://jurnal.ikhafi.or.id/index.php/jpmtt,2797-3158,2776-2858,Pengabdian,Teknologi Informasi,S5,2022 - 2026,blm_scopus,-,-,"Yogyakarta, DI Yogyakarta"
56,FAWAID: Sharia Economic Law Review,FAWAID,https://ejournal.iainkendari.ac.id/index.php/fawaid,2828-4593,2828-576X,Penelitian,Hukum,S5,2021 - 2026,blm_scopus,-,Institut Agama Islam Negeri Kendari,"Tegal, Jawa Tengah"
57,Jurnal Manajemen dan Kearifan Lokal Indonesia,JMKI,https://journal.apmai.org/v2/index.php/jmkli/issue/archive,2579-5791,2550-0856,Penelitian,Manajemen,S5,2022 - 2026,blm_scopus,-,-,"Padang, Sumatera Barat"
58,Al-Fikri: Jurnal Studi dan Penelitian Pendidikan Islam,AL-FIKRI,http://jurnal.unissula.ac.id/index.php/fikri,2614-3925,2614-3941,Penelitian,Islam,S5,2021 - 2025,blm_scopus,-,Universitas Islam Sultan Agung,"Surabaya, Jawa Timur"
59,KATALIS: Jurnal Penelitian Kimia dan Pendidikan Kimia,KATALIS,https://ejurnalunsam.id/index.php/katalis,2721-902X,2721-9038,Penelitian,Kimia,S5,2000 - 2027,blm_scopus,-,Universitas Samudra,"Sidoarjo, Jawa Timur"
60,QUANTUM: Jurnal Pembelajaran IPA dan Aplikasinya,QUANTUM,https://jurnalstkipmelawi.ac.id/index.php/QJIPI,-,2798-9194,Penelitian,Teknologi Informasi,S5,2022 - 2027,blm_scopus,-,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Melawi,"Pekalongan, Jawa Tengah"
61,JSI : Jurnal Sejarah Islam,JSI,https://ejournal.uinsaizu.ac.id/index.php/jsij,2962-3731,2962-2484,Penelitian,Sejarah,S5,2022 - 2026,blm_scopus,-,Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,"Sidoarjo, Jawa Timur"
62,Jurnal Riset Jakarta,JRJ,http://jurnal.drdjakarta.id/index.php/jurnalDRD,2337-4381,2716-4659,Penelitian,Ekonomi,S5,2019 - 2045,blm_scopus,-,-,"Yogyakarta, DI Yogyakarta"
63,Jurnal Abdimas Bina Bangsa,JABB,http://jabb.lppmbinabangsa.id/index.php/jabb,2722-936X,2722-9394,Penelitian,Sosial & Politik,S5,2020 - 2028,blm_scopus,-,Universitas Bina Bangsa,"Sidoarjo, Jawa Timur"
64,Jurnal Proteksi Tanaman Tropika,JPTT,http://jtam.ulm.ac.id/index.php/jpt,-,2685-8193,Penelitian,Pertanian,S5,2021 - 2052,blm_scopus,-,Universitas Lambung Mangkurat,"Jember, Jawa Timur"
65,Professional : Jurnal Komunikasi dan Administrasi Publik,PROFESSIONAL,https://jurnal.unived.ac.id/index.php/prof,2407-2087,2722-371X,Penelitian,Komunikasi,S5,2019 - 2087,blm_scopus,-,Universitas Dehasen Bengkulu,"Malang, Jawa Timur"
66,KARIWARI SMART: Journal of Education Based on Local Wisdom,KARIWARI,http://e-journal.iainfmpapua.ac.id/index.php/kariwarismart,2808-6937,2798-4249,Penelitian,Pendidikan,S5,2021 - 2026,blm_scopus,-,Institut Agama Islam Negeri Fattahul Muluk Papua,"Magelang, Jawa Tengah"
67,Jurnal Antara Abdimas Keperawatan,JAAK,https://ojs.abdinusantara.ac.id/index.php/abdimaskep,2798-3226,2798-2548,Penelitian,Keperawatan,S5,2021 - 2025,blm_scopus,-,Sekolah Tinggi Ilmu Kesehatan Abdi Nusantara,"Bandung, Jawa Barat"
68,Well Being,WELL BEING,http://journal.stikes-bu.ac.id/index.php/wb,2477-2704,2615-7519,Penelitian,Psikologi,S5,2020 - 2025,blm_scopus,-,Sekolah Tinggi Ilmu Kesehatan Bahrul Ulum Jombang,"Mataram, Nusa Tenggara Barat"
